title,residential_complex,char_total_area,char_living_area,char_площадь кухни,char_floor_current,char_floor_total,char_completion_year,char_building_status,char_renovation,char_flat_тип_жилья,char_flat_общая_площадь,char_flat_жилая_площадь,char_flat_площадь_кухни,char_flat_высота_потолков,char_flat_санузел,char_flat_вид_из_окон,char_flat_отделка,char_building_количество_лифтов,char_building_тип_дома,char_building_пандус,district,building,metro_count,metro_names,metro_times,hc_developer,hc_class,hc_building_type,hc_parking,hc_complex_type,hc_advantages,developer_description,online_booking,views,char_flat_балкон/лоджия,char_building_парковка,hc_decoration_options
"Продается 1-комн. квартира, 36,7 м²",ЖК «ЛСР. Большая Охта»,"36,7 м²","10,7 м²",18 м²,2,12,2026,Не сдан,Предчистовая,Новостройка,"36,7 м²","10,7 м²",18 м²,"2,8 м",1 совмещенный,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,3В,3.0,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"110 просмотров, 1 за сегодня",,,
"Продается 1-комн. квартира, 36,5 м²",ЖК «ЛСР. Большая Охта»,"36,5 м²","11,1 м²","17,2 м²",5,12,2025,Не сдан,Предчистовая,Новостройка,"36,5 м²","11,1 м²","17,2 м²","2,7 м",,На улицу,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,5,3.0,"Ладожская, Новочеркасская, Чернышевская","4 мин., 4 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"23 просмотра, 5 за сегодня",,Подземная,
"Продается 2-комн. квартира, 50,47 м²",ЖК «Парадный ансамбль»,"50,47 м²","22,3 м²","17,3 м²",3,5,2028,Не сдан,Чистовая,Новостройка,"50,47 м²","22,3 м²","17,3 м²","2,77 м",,,Чистовая,"8 пассажирских, 8 грузовых",Монолитно-кирпичный,,р-н Московский,,3.0,"Проспект Ветеранов, Юго-Западная, Ленинский проспект","23 мин., 24 мин., 25 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"279 просмотров, 19 за сегодня",1 лоджия,,
"Продается 2-комн. квартира, 53,1 м²",ЖК «Ручьи»,"53,1 м²","23,8 м²","15,7 м²",3,20,2025,Не сдан,Чистовая,Новостройка,"53,1 м²","23,8 м²","15,7 м²","2,55 м",1 раздельный,На улицу и двор,Чистовая,"1 пассажирский, 1 грузовой",Монолитный,Есть,р-н Красногвардейский,,3.0,"Академическая, Девяткино, Гражданский проспект","14 мин., 14 мин., 14 мин.",ЛСР. Недвижимость-Северо-Запад,Комфорт,Панельный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"369 просмотров, 1 за сегодня",1 балкон,,
"Продается 2-комн. квартира, 52,05 м²",ЖК «Дубровский»,"52,05 м²","25,3 м²","13,4 м²",1,4,2027,Не сдан,С отделкой,Новостройка,"52,05 м²","25,3 м²","13,4 м²","2,77 м",,,С отделкой,,Монолитно-кирпичный,,р-н Пушкинский,,3.0,"Купчино, Звездная, Шушары","25 мин., 26 мин., 28 мин.",КВС,Бизнес,Монолитно-кирпичный,Гостевая,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура",,True,"190 просмотров, 1 за сегодня",,,"Чистовая, Предчистовая"
"Продается 2-комн. квартира, 61,46 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"61,46 м²","26,2 м²",21 м²,1,5,2027,Не сдан,Чистовая,Новостройка,"61,46 м²","26,2 м²",21 м²,,,,Чистовая,,Монолитный,,р-н Пушкинский,,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"204 просмотра, 3 за сегодня",,,
"Продается студия, 27,7 м²",ЖК «Передвижники»,"27,7 м²","13,7 м²","5,1 м²",4,12,2029,Не сдан,Предчистовая,Новостройка,"27,7 м²","13,7 м²","5,1 м²","3,01 м",,,Предчистовая,,Монолитный,,р-н Адмиралтейский,118аЕ,3.0,"Балтийская, Фрунзенская, Технологический институт","10 мин., 19 мин., 5 мин.",RBI,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,False,"14 просмотров, 2 за сегодня",,Подземная,
"Продается 1-комн. квартира, 44,7 м²",ЖК «Антверпен»,"44,7 м²",,,3,13,2029,Не сдан,Предчистовая,Новостройка,"44,7 м²",,,"2,7 м",,,Предчистовая,"2 пассажирских, 2 грузовых",Монолитно-кирпичный,,р-н Фрунзенский,,3.0,"Купчино, Дунайская, Звездная","16 мин., 5 мин., 6 мин.",,,,,,,,False,"42 просмотра, нет за сегодня",,,
"Продается студия, 24,8 м²",ЖК «Лермонтовский 54»,"24,8 м²","12,3 м²",5 м²,5,9,2025,Не сдан,Без отделки,Новостройка,"24,8 м²","12,3 м²",5 м²,3 м,1 совмещенный,На улицу,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Адмиралтейский,169,3.0,"Балтийская, Фрунзенская, Технологический институт","4 мин., 17 мин., 23 мин.",ПИК,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"13 просмотров, 2 за сегодня",,Открытая,"Предчистовая, Без отделки"
"Продается 1-комн. квартира, 35,2 м²",ЖК «Квартал бизнес-класса Б15»,"35,2 м²","12,8 м²","13,6 м²",3,17,2026,Не сдан,С отделкой,Новостройка,"35,2 м²","12,8 м²","13,6 м²","2,73 м",,,С отделкой,"11 пассажирских, 11 грузовых",Монолитно-кирпичный,,р-н Калининский,Б15 жилой квартал,3.0,"Лесная, Выборгская, Площадь Ленина","5 мин., 7 мин., 7 мин.",КВС,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"264 просмотра, 12 за сегодня",,,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 34,34 м²",ЖК «Квартал бизнес-класса Б15»,"34,34 м²",12 м²,"13,1 м²",5,17,2026,Не сдан,С отделкой,Новостройка,"34,34 м²",12 м²,"13,1 м²","2,73 м",,,С отделкой,"11 пассажирских, 11 грузовых",Монолитно-кирпичный,,р-н Калининский,Б15 жилой квартал,3.0,"Лесная, Выборгская, Площадь Ленина","5 мин., 7 мин., 7 мин.",КВС,Бизнес,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,True,"134 просмотра, 10 за сегодня",,,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 45,7 м²",ЖК «Антверпен»,"45,7 м²",,,2,13,2029,Не сдан,Предчистовая,Новостройка,"45,7 м²",,,"2,7 м",,,Предчистовая,"2 пассажирских, 2 грузовых",Монолитно-кирпичный,,р-н Фрунзенский,,3.0,"Купчино, Дунайская, Звездная","16 мин., 5 мин., 6 мин.",,,,,,,,False,"161 просмотр, 2 за сегодня",,,
"Продается 2-комн. квартира, 50,58 м²",ЖК «ЮгТаун. Олимпийские кварталы»,"50,58 м²","26,9 м²","12,2 м²",3,5,2025,Сдан,Чистовая,Новостройка,"50,58 м²","26,9 м²","12,2 м²",,,,Чистовая,,Монолитный,,р-н Пушкинский,14,3.0,"Купчино, Московская, Звездная","20 мин., 20 мин., 21 мин.",КВС,Комфорт,Монолитный,Гостевая,Жилой комплекс,"Отделка, Внутренний двор, Архитектура",,True,"129 просмотров, 4 за сегодня",,,
"Продается студия, 25,82 м²",ЖК «Ассамблея»,"25,82 м²","12,1 м²",5 м²,1,12,2028,Не сдан,Без отделки,Новостройка,"25,82 м²","12,1 м²",5 м²,3 м,1 совмещенный,Во двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Василеостровский,,3.0,"Василеостровская, Горный институт, Приморская","22 мин., 16 мин., 5 мин.",,,,,,,,True,"1 просмотр, нет за сегодня",,,Без отделки
"Продается 2-комн. квартира, 58,3 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"58,3 м²","26,4 м²","16,9 м²",1,5,2027,Не сдан,Чистовая,Новостройка,"58,3 м²","26,4 м²","16,9 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Звездная, Проспект Ветеранов, Юго-Западная","22 мин., 23 мин., 24 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"2 просмотра, 1 за сегодня",,,
"Продается 1-комн. квартира, 45,2 м²",ЖК «Руднева 15»,"45,2 м²","13,5 м²","19,7 м²",1,13,2024,Сдан,Чистовая,Новостройка,"45,2 м²","13,5 м²","19,7 м²","2,63 м",,Во двор,Чистовая,,Монолитный,,р-н Выборгский,2к1,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 6 мин., 7 мин.",,,,,,,,False,"16 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 39,2 м²",ЖК «ЛСР. Большая Охта»,"39,2 м²","10,1 м²","18,8 м²",3,12,2027,Не сдан,Предчистовая,Новостройка,"39,2 м²","10,1 м²","18,8 м²","2,72 м",1 совмещенный,На улицу и двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,8к2,3.0,"Ладожская, Новочеркасская, Чернышевская","4 мин., 4 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"35 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 45,02 м²",ЖК «Pulse Premier (Пульс Премьер)»,"45,02 м²","13,8 м²","18,9 м²",1,15,2026,Не сдан,Чистовая,Новостройка,"45,02 м²","13,8 м²","18,9 м²","2,65 м",,,Чистовая,18 пассажирских,Монолитно-кирпичный,,р-н Невский,,3.0,"Проспект Большевиков, Новочеркасская, Улица Дыбенко","8 мин., 7 мин., 8 мин.",Setl Group,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура",,True,"166 просмотров, 18 за сегодня",1 лоджия,,
"Продается студия, 29,53 м²",ЖК «Дом на Курской»,"29,53 м²","15,6 м²",,4,10,2028,Не сдан,Предчистовая,Новостройка,"29,53 м²","15,6 м²",,"2,73 м",,,Предчистовая,8 пассажирских,Монолитно-кирпичный,,р-н Фрунзенский,27,3.0,"Обводный канал, Лиговский проспект, Звенигородская","8 мин., 16 мин., 24 мин.",,,,,,,,True,"85 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 50,05 м²",ЖК «Окла (Okla)»,"50,05 м²",,,2,25,2026,Не сдан,,Новостройка,"50,05 м²",,,,,,,,Монолитный,,р-н Приморский,11к1,3.0,"Проспект Просвещения, Озерки, Удельная","11 мин., 12 мин., 13 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"9 просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 53,7 м²",ЖК «Клюква.Парк»,"53,7 м²",,,2,12,2028,Не сдан,Без отделки,Новостройка,"53,7 м²",,,"2,72 м",,,,"10 пассажирских, 10 грузовых",Монолитно-кирпичный,Есть,р-н Пушкинский,,3.0,"Звездная, Московская, Купчино","10 мин., 12 мин., 13 мин.",,,,,,,,False,"нет просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 41,1 м²",ЖК «Струны»,"41,1 м²","11,1 м²",16 м²,2,23,2026,Не сдан,Предчистовая,Новостройка,"41,1 м²","11,1 м²",16 м²,,,,Предчистовая,,Монолитный,Есть,р-н Выборгский,4,3.0,"Проспект Просвещения, Парнас, Озерки","17 мин., 5 мин., 8 мин.",RBI,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,False,"170 просмотров, 3 за сегодня",,Подземная,
"Продается 1-комн. квартира, 56,4 м²",ЖК «Прагма city»,"56,4 м²","18,2 м²","25,1 м²",3,23,2022,Сдан,Предчистовая,Новостройка,"56,4 м²","18,2 м²","25,1 м²","2,73 м",1 совмещенный,,Предчистовая,"1 пассажирский, 2 грузовых",Монолитный,,р-н Выборгский,дор. Ольгинская,3.0,"Парнас, Проспект Просвещения, Озерки","19 мин., 7 мин., 9 мин.",,,,,,,,False,"715 просмотров, 4 за сегодня",1 балкон,Наземная,"Чистовая, Предчистовая, Без отделки"
"Продается 1-комн. квартира, 39,11 м²",ЖК «Гранат»,"39,11 м²",,,1,13,2028,Не сдан,,Новостройка,"39,11 м²",,,"2,73 м",,,,,Монолитно-кирпичный,,р-н Фрунзенский,,3.0,"Бухарестская, Международная, Волковская","16 мин., 4 мин., 6 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"26 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 47,9 м²",ЖК «Тайм Сквер»,"47,9 м²",,,3,13,2025,Сдан,,Новостройка,"47,9 м²",,,"2,74 м",,,,,Монолитно-кирпичный,,р-н Приморский,99,3.0,"Комендантский проспект, Беговая, Старая Деревня","8 мин., 13 мин., 13 мин.",Холдинг «РСТИ» (Росстройинвест),Комфорт,Монолитно-кирпичный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,False,"4 просмотра, нет за сегодня",,,
"Продается 1-комн. квартира, 38 м²",ЖК «ЛСР. Большая Охта»,38 м²,12 м²,"18,6 м²",2,12,2026,Не сдан,Предчистовая,Новостройка,38 м²,12 м²,"18,6 м²","2,8 м",1 совмещенный,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,3В,3.0,"Ладожская, Новочеркасская, Чернышевская","5 мин., 4 мин., 7 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"30 просмотров, 2 за сегодня",,,
"Продается 1-комн. квартира, 39,6 м²",ЖК «ЛСР. Большая Охта»,"39,6 м²","10,3 м²","18,8 м²",5,12,2027,Не сдан,Предчистовая,Новостройка,"39,6 м²","10,3 м²","18,8 м²","2,72 м",1 совмещенный,На улицу и двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Красногвардейский,8к2,3.0,"Ладожская, Новочеркасская, Чернышевская","4 мин., 4 мин., 8 мин.",ЛСР. Недвижимость-Северо-Запад,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"14 просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 53,33 м²",ЖК «Парадный ансамбль»,"53,33 м²",22 м²,"17,4 м²",1,5,2026,Не сдан,Чистовая,Новостройка,"53,33 м²",22 м²,"17,4 м²",,,,Чистовая,3 грузовых,Монолитно-кирпичный,,р-н Московский,,3.0,"Московская, Проспект Ветеранов, Дунайская","21 мин., 23 мин., 23 мин.",Setl Group,Комфорт,"Монолитно-кирпичный, монолитный",Подземная,Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа",,True,"591 просмотр, 4 за сегодня",1 лоджия,Подземная,
"Продается 1-комн. квартира, 38,7 м²",ЖК «Гений»,"38,7 м²","10,2 м²","16,9 м²",10,20,2028,Не сдан,Предчистовая,Новостройка,"38,7 м²","10,2 м²","16,9 м²","2,75 м",,,Предчистовая,4 грузовых,Монолитный,Есть,р-н Невский,22к1Е,3.0,"Улица Дыбенко, Проспект Большевиков, Ломоносовская","13 мин., 6 мин., 9 мин.",,,,,,,,False,"137 просмотров, 3 за сегодня",,Подземная,
"Продается 2-комн. квартира, 46,76 м²",ЖК «Кронфорт.Центральный»,"46,76 м²","21,2 м²","11,8 м²",3,4,2026,Не сдан,Чистовая,Новостройка,"46,76 м²","21,2 м²","11,8 м²","3,04 м",,На улицу и двор,Чистовая,,Монолитный,,р-н Кронштадтский,,,,,ГК Алькор,Комфорт,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"5716 просмотров, 68 за сегодня",,Подземная,"Чистовая, Предчистовая, Без отделки"
"Продается 1-комн. квартира, 32,55 м²",ЖК «17 линия»,"32,55 м²","9,9 м²","15,7 м²",1,10,2028,Не сдан,Предчистовая,Новостройка,"32,55 м²","9,9 м²","15,7 м²","2,73 м",1 совмещенный,,Предчистовая,"7 пассажирских, 11 грузовых",Монолитный,,р-н Василеостровский,,3.0,"Василеостровская, Горный институт, Приморская","23 мин., 25 мин., 5 мин.",,,,,,,,False,"992 просмотра, 16 за сегодня",,,"Чистовая, Предчистовая"
"Продается 1-комн. квартира, 45,3 м²",ЖК «Окла (Okla)»,"45,3 м²",,,24,25,2026,Не сдан,,Новостройка,"45,3 м²",,,,,,,,Монолитный,,р-н Приморский,11к1,3.0,"Проспект Просвещения, Озерки, Удельная","11 мин., 12 мин., 13 мин.",Ленстройтрест,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа, Лифт",,True,"1 просмотр, нет за сегодня",,,
"Продается 1-комн. квартира, 36,48 м²",ЖК «НИГИЛИСТ»,"36,48 м²","7,8 м²",,11,13,2028,Не сдан,Предчистовая,Новостройка,"36,48 м²","7,8 м²",,"2,74 м",,,Предчистовая,"3 пассажирских, 3 грузовых",Монолитно-кирпичный,,р-н Фрунзенский,,3.0,"Бухарестская, Международная, Волковская","12 мин., 20 мин., 6 мин.",ГК «Bau City Development»,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,False,"73 просмотра, 4 за сегодня",,,"Чистовая, Предчистовая, Без отделки"
"Продается 2-комн. квартира, 42,1 м²",ЖК «Veren Next Шуваловский (Верен Некст Шуваловский)»,"42,1 м²",,,7,10,2023,Сдан,,Новостройка,"42,1 м²",,,"2,8 м",,,,,Монолитный,,р-н Приморский,79к1,3.0,"Комендантский проспект, Пионерская, Удельная","7 мин., 9 мин., 9 мин.",,,,,,,,False,"505 просмотров, 20 за сегодня",,,
"Продается 3-комн. квартира, 52,81 м²",ЖК «Полис Приморский 2»,"52,81 м²",,,12,13,2024,Сдан,,Новостройка,"52,81 м²",,,"2,77 м",,,,,Монолитный,Есть,р-н Приморский,9,3.0,"Комендантский проспект, Старая Деревня, Пионерская","11 мин., 13 мин., 16 мин.",ГК Полис,Комфорт,"Монолитно-кирпичный, монолитный","Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Парки, Архитектура, Входная группа, Лифт",,False,"1458 просмотров, 20 за сегодня",,,
"Продается студия, 31,29 м²",ЖК «Регенбоген»,"31,29 м²",,,2,9,2026,Не сдан,Без отделки,Новостройка,"31,29 м²",,,"2,74 м",,,Без отделки,"13 пассажирских, 13 грузовых",Монолитный,,р-н Василеостровский,84,3.0,"Василеостровская, Спортивная, Горный институт","11 мин., 12 мин., 4 мин.",Красная Стрела,Бизнес,Монолитный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Архитектура, Входная группа",,True,"551 просмотр, 16 за сегодня",,,Без отделки
"Продается 1-комн. квартира, 45,7 м²",ЖК «Руднева 15»,"45,7 м²","13,7 м²","19,6 м²",1,12,2024,Сдан,Чистовая,Новостройка,"45,7 м²","13,7 м²","19,6 м²","2,63 м",,На улицу,Чистовая,,Монолитный,,р-н Выборгский,15,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 7 мин., 7 мин.",,,,,,,,False,"65 просмотров, нет за сегодня",,,
"Продается студия, 26,5 м²",ЖК «Ассамблея»,"26,5 м²","12,5 м²",5 м²,1,12,2028,Не сдан,Без отделки,Новостройка,"26,5 м²","12,5 м²",5 м²,3 м,1 совмещенный,Во двор,Без отделки,"1 пассажирский, 1 грузовой",Монолитный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Приморская","16 мин., 22 мин., 5 мин.",,,,,,,,True,"4 просмотра, 1 за сегодня",,,Без отделки
"Продается 3-комн. квартира, 73,42 м²",ЖК «Квартал Заречье»,"73,42 м²",,,3,9,2027,Не сдан,,Новостройка,"73,42 м²",,,"2,7 м",,,,5 грузовых,Монолитный,Есть,р-н Колпинский,71Д,3.0,"Рыбацкое, Пролетарская, Обухово","17 мин., 21 мин., 21 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"46 просмотров, 2 за сегодня",,,
"Продается 3-комн. квартира, 73,99 м²",ЖК «Квартал Заречье»,"73,99 м²",,,2,9,2027,Не сдан,,Новостройка,"73,99 м²",,,"2,7 м",,,,5 грузовых,Монолитный,Есть,р-н Колпинский,71Д,3.0,"Рыбацкое, Пролетарская, Обухово","17 мин., 21 мин., 21 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"20 просмотров, нет за сегодня",,,
"Продается 2-комн. квартира, 76,11 м²",ЖК «Квартал Заречье»,"76,11 м²",,,5,9,2027,Не сдан,,Новостройка,"76,11 м²",,,"2,7 м",,,,5 грузовых,Монолитный,Есть,р-н Колпинский,,3.0,"Рыбацкое, Обухово, Пролетарская","18 мин., 21 мин., 22 мин.",СЗ ИнтерГрупп,Комфорт,Монолитный,"Отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура",,False,"10 просмотров, нет за сегодня",,,
"Продается студия, 28,29 м²",ЖК «LEGENDA Васильевского»,"28,29 м²","14,6 м²","7,3 м²",8,10,2027,Не сдан,Предчистовая,Новостройка,"28,29 м²","14,6 м²","7,3 м²","2,7 м",1 совмещенный,Во двор,Предчистовая,"1 пассажирский, 1 грузовой",Монолитный,,р-н Василеостровский,,3.0,"Горный институт, Василеостровская, Приморская","15 мин., 5 мин., 6 мин.",LEGENDA Intelligent Development,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"34 просмотра, нет за сегодня",,,"Предчистовая, Черновая"
"Продается 2-комн. квартира, 51,63 м²",ЖК «PLUS Пулковский (Плюс Пулковский)»,"51,63 м²","25,1 м²","11,9 м²",3,5,2026,Не сдан,Чистовая,Новостройка,"51,63 м²","25,1 м²","11,9 м²","2,89 м","1 совмещенный, 1 раздельный",На улицу и двор,Чистовая,1 грузовой,Монолитный,,р-н Московский,,3.0,"Проспект Ветеранов, Юго-Западная, Ленинский проспект","23 мин., 24 мин., 25 мин.",ГК ПСК,Комфорт,Монолитно-кирпичный,"Подземная, отдельная многоуровневая, гостевая",Жилой комплекс,"Парковка, Внутренний двор, Архитектура, Входная группа",,False,"5 просмотров, 4 за сегодня",,,
"Продается 1-комн. квартира, 40,82 м²",ЖК «Северный ветер»,"40,82 м²","13,5 м²","17,6 м²",4,15,2028,Не сдан,Предчистовая,Новостройка,"40,82 м²","13,5 м²","17,6 м²","3,1 м",1 совмещенный,Во двор,Предчистовая,"13 пассажирских, 2 грузовых",Монолитный,,р-н Василеостровский,,3.0,"Приморская, Горный институт, Василеостровская","7 мин., 11 мин., 12 мин.",Брусника,Бизнес,Монолитно-кирпичный,"Подземная, гостевая",Жилой комплекс,"Отделка, Парковка, Внутренний двор, Входная группа",,True,"51 просмотр, 21 за сегодня","1 лоджия, 1 балкон",,
"Продается 1-комн. квартира, 43,8 м²",ЖК «Руднева 15»,"43,8 м²","13,9 м²","16,1 м²",1,13,2024,Сдан,Чистовая,Новостройка,"43,8 м²","13,9 м²","16,1 м²","2,63 м",1 совмещенный,На улицу и двор,Чистовая,,Монолитный,,р-н Выборгский,2к2,3.0,"Проспект Просвещения, Гражданский проспект, Политехническая","5 мин., 6 мин., 7 мин.",,,,,,,,False,"11 просмотров, нет за сегодня",,,
"Продается 1-комн. квартира, 40,7 м²",ЖК «Струны»,"40,7 м²","11,5 м²","15,9 м²",9,23,2027,Не сдан,Предчистовая,Новостройка,"40,7 м²","11,5 м²","15,9 м²","2,72 м",,,Предчистовая,,Монолитный,Есть,р-н Выборгский,,3.0,"Проспект Просвещения, Парнас, Озерки","17 мин., 6 мин., 8 мин.",RBI,Бизнес,Монолитный,Подземная,Жилой комплекс,"Отделка, Внутренний двор, Архитектура, Входная группа",,False,"126 просмотров, 5 за сегодня",,Подземная,
